Book,Publisher,Category,Subcategory,State/Country,Date,Month,Year,Host,Meeting No.,Contributor,Composite,Aaron T.,Adam H.,Adam W.,Alex Ha.,Alex He.,Alex M.,Alex S.,Allen M.,Andrew F.,Andrew P.,Andrew S.,Anfernee A.,Annie H.,Ben C.,Ben S.,Ben W.,Bill K.,Bobby T.,Brant C.,Brian La.,Brian Li.,Carl R.,Charlie D.,Charlie M.,Chelsea P.,Chris G.,Chris J.,Chris Mo.,Chris My.,Colin J.,Cory P.,Dan S.,Darrell L.,Dave E.,Dave S.,David A.,David J.,David W.,Denis M.,Dick K.,DJ W.,Donny H.,Drew B.,Dustin S.,Eric A.,Eric B.,Eric H.,Erik W.,Forrest T.,Frank B.,Greg A.,Ian S.,Jake W.,James E.,Jason F.,Jason M.,Jason S.,Jayson L.,Jeremy S.,Jesse J.,Jim B.,Jim C.,Joe C.,Joe J.,Joe S.,Joel B.,John S.,John V.,Jordyn P.,Josh J.,Josh R.,Juan B.,Katie S.,Kevin V.,Kevin W.,Lauren D.,Lee M.,Maridee R.,Mark A.,Mark N.,Matt A.,Matt G.,Matt S.,Matt T.,Matthew S.,Merritt W.,Michael P.,Mike M.,Mike V.,Nate M.,Nick K.,OJ W.,Paul H.,Paul K.,Paul W.,Phil H.,Phil W.,Rachel H.,Renee K.,Richard A.,Rick S.,Rob C.,Rusty O.,Ryan F.,Ryan Y.,Sam E.,Sam S.,Sara P.,Sarah G.,Scott M.,Scott T.,Shelley B.,Steve B.,Steve D.,Steve M.,Steve P.,Steve S.,Steve W.,Stuart W.,Tim H.,Tony H.,Tony W.,Trent D.,Tyler S.,Wes B.,Zach M.
Tart Cherry W-n-B Coffee Oatmeal Imperial Stout,Terrapin Beer Co.,Stout,Oatmeal Stout,Georgia,12/7/2018,December,2019,Paul W.,68,Scott T.,3.17,,,,,,,,,,,,,,,,4.50,,3.50,,,,,4.00,,,,,,,,,,,3.00,,,,,,4.00,,,,,3.00,,2.25,,,,,,2.75,,,2.00,,,3.00,,,,,,,,,,,,,,,,3.50,,3.00,,,,,,,,,,,,,,,,,3.00,2.50,,,,,,,,,,,,,,,,4.00,,,,,,2.75,,,,,,,,,
Batch #16 Imperial Stout,Nowhere In Particular Brewing Co.,Stout,American Imperial Stout,Ohio,12/8/2017,December,2018,Paul W.,56,Eric A.,3.17,,,,,,,,,,,,,,,,4.00,,2.50,,,,,,,,,,,,,,,,2.75,,,,4.00,,,,,,,4.00,,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,2.00,,3.75,,,,,,3.50,,,3.25,,,,,,,,3.00,3.00,3.00,,,,3.50,,,,,,,,,,,3.50,,,,,2.50,3.00,,,,3.00,,,,,
Space Station: Middle Finger,3 Floyds Brewing Co.,Pale Ale,American Pale Ale,Indiana,11/19/2015,November,2015,Matt S.,31,Dave E.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,3.00,,,,,,,,,,,3.00,,3.00,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,3.50,,,,,,,,,,,,3.00,,,
Out of Your Gourd Pumpkin Porter,Redhook Ale Brewery,Pumpkin,,New Hampshire,10/13/2016,October,2016,Sam E.,42,Trent D.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.50,,,
Bass Pale Ale,Bass Brewers Limited,Pale Ale,English Pale Ale,UK,1/19/2017,January,2017,Jake W.,45,Jake W.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,3.75,,,,,,3.00,,,,,,,,,3.75,,,,,,,,3.00,,,,,2.50,,,,3.00,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ZENUFF Imperial IPA,Revolution Brewing,IPA,Imperial IPA,Illinois,5/3/2017,April,2017,Jake W.,48,Dave E.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,3.75,,,3.75,,3.75,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,,,,,,,,2.50,4.00,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,
Fat Tire Belgian White,New Belgium Brewing Co.,Wheat,Witbier,Colorado,11/16/2017,November,2017,Scott T.,55,Bobby T.,3.17,,,,,,,,,,,,,,,,,,4.00,,,,,2.75,,,,,,,,,,,2.00,,,,,4.25,,,,,,3.00,,2.75,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Trey Amber,Fretboard Brewing Co.,Amber,,Ohio,12/8/2017,December,2018,Paul W.,56,Dave E.,3.17,,,,,,,,,,,,,,,,4.00,,3.75,,,,,,,,,,,,,,,,3.00,,,,2.75,,,,,,,3.50,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,4.00,,2.25,,,,,,,,,4.00,,,,,,,,3.00,2.75,3.00,,,,2.75,,,,,,,,,,,2.50,,,,,3.50,2.75,,,,3.50,,,,,
Voodoo Love Child Belgian Style Ale Aged on Fruit,Voodoo Brewery,Tripel,Belgian Tripel,Pennsylvania,4/12/2019,April,2019,Andrew P.,72,Wes B.,3.17,,,,,,,,,,4.00,,,,,,4.25,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,3.00,,,3.50,,,,,,,,,,,,,,,,,,,2.50,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,2.25
Dragon's Milk White: Bourbon Barrel-Aged White Stout,New Holland Brewing Co.,Stout,American Stout,Michigan,11/22/2019,November,2019,Lee M.,79,Wes B.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,3.00,,,,,,3.50,,3.50,,,,,,,,,,,,,,,,,,,,,,4.00,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,3.00,3.00
Super Duper Stout,Evil Twin Brewing,Stout,American Imperial Stout,Denmark,11/22/2019,November,2019,Lee M.,79,Scott T.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.00,,,,,,3.00,,3.00,,,,,,,,,,,,,,,,,,,,,,2.50,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,,,,,,,,,,,,2.75,3.50
Los Gatos Black Lager,Asheville Brewing Co.,Lager,Dark Lager,North Carolina,10/2/2021,October,2021,Jim B.,100,Greg A.,3.17,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.75,,3.00,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crowd Control DIPA,BlackStone Brewing Co.,IPA,Double IPA,Tennessee,10/27/2022,October,2022,Juan B. / Zach M.,112,Paul K.,3.17,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Crown and Crate Double IPA With Honey & Lactose,Trillium Brewing,IPA,Double IPA,Massachusetts,4/19/2024,April,2024,Joe J.,130,Paul K.,3.17,,,,,,,,,,,,,,,3.00,,3.75,,,,,,,,,,,,,,3.25,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O.K. Beer Full Pale Ale,Browar Okocim,Lager,European Pale Lager,Poland,8/29/2024,August,2024,Jeremy S.,134,Jeremy S.,3.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
"Luke, I Am Your Lager Schwarzbier",Grainworks Brewing Co.,Schwarzbier,,Ohio,2/25/2025,February,2025,Silverton/Pleasant Ridge,140,Matt T.,3.17,,,,,,,,,,,,,,,2.50,4.00,2.50,,,,,,,,,,,,,,,,,3.25,,2.50,,,,,,,,,,,3.00,4.00,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,3.50,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,2.50
Virunga Mist Strong Beer,Skol,Lager,European Dark Lager,Rwanda,3/30/2025,March,2025,Zach M.,141,Paul K.,3.17,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,2.50,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Third Eye P.A. West Coast IPA,Third Eye Brewing Co.,IPA,American IPA,Ohio,3/30/2025,March,2025,Zach M.,141,Eric H.,3.17,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,3.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Head Tide Rye Ale,Fogtown Brewing Co.,Rye,,Maine,5/17/2019,May,2019,Jake W.,73,Phil H.,3.16,4.00,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,4.00,,2.75,,,,,,3.00,,,,,,,,,,,,,,,,2.50,,3.00,,,,,,,,,,,,,,,,,3.00,3.25,4.00,,,,,,,,,,,,,,,3.25,,,,,,3.00,,,,,,,,2.50,
Glitter Freeze,Streetside Brewery,Sour,Berliner Weisse,Ohio,5/24/2018,May,2018,Jason F.,61,Kevin W.,3.16,3.50,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,1.75,,,,,,3.25,,4.00,3.00,,,2.75,,,,,,,,,,,,,,,,4.00,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,
Cheeky Bastard Stout,Nickel Brook Brewing Co.,Stout,American Stout,Canada,9/27/2019,September,2019,Kevin W.,77,Paul K.,3.16,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,2.50,,,,2.25,,,,4.00,,3.50,,,,,,2.75,,,,,,,,,,,,4.00,,,,4.00,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
Pterodactyl Hefeweizen,Little Miami Brewing Co.,Wheat,Hefeweizen,Ohio,6/12/2020,June,2020,Charlie D.,84,Bobby T.,3.16,4.00,,,,,,,,,,3.50,,,,,3.00,,4.00,,,,,3.50,,,,,,,,,,,2.25,,,,,,,,,,,,,2.25,,,,,,2.50,,,3.00,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bourbon Barrel Aged Kringle Belgian Quad,Braxton Brewing Co.,Quad,Belgian Quad,Kentucky,11/23/2022,November,2022,Matt T.,113,Ben W.,3.16,,,,,,,,,,,,,,,,4.00,,2.75,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.75,,,,,,,,,,3.00,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,3.25,,,,,,,,,,,3.25,,,1.50,,,,,,,,,,,,,,,3.75
Kentucky Vanilla Barrel Cream Ale,Alltech's Lexington Brewing Co.,Cream Ale,,Kentucky,6/27/2018,June,2018,Scott T.,62,Eric A. / Tony H.,3.16,2.00,,,,,,,,,,,,,,,3.00,,,,,,,3.25,,,,,,,,,,,3.00,,,,,,3.25,,,3.50,,3.75,,3.25,,,,,,3.00,,,3.00,,,3.50,,,,,3.50,,,,,,,3.25,,,,3.50,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,
Curmudgeon's Better Half,Founders Brewing Co.,Old,,Michigan,12/7/2018,December,2019,Paul W.,68,Paul W.,3.16,,,,,,,,,,,,,,,,3.50,,2.00,,,,,3.75,,,,,,,,,,,3.25,,,,,,3.00,,,,,4.25,,1.75,,,,,,3.25,,,3.00,,,3.75,,,,,,,,,,,,,,,,3.50,,4.00,,,,,,,,,,,,,,,,,2.75,3.00,,,,,,,,,,,,,,,,2.25,,,,,,3.50,,,,,,,,,
Crushing Mass Barrel Aged Coffee Stout,3 Floyds Brewing Co.,Stout,Coffee Stout,Indiana,8/26/2022,August,2022,Jeremy S.,110,Josh R.,3.16,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,3.25,,,2.75,,,,,,,,,,,,4.00,3.25,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00
Deathly Mallows Toasted Marshmallow Milk Stout,Royal Docks Brewing Co.,Stout,Sweet/Milk Stout,Ohio,8/26/2022,August,2022,Jeremy S.,110,Dave E.,3.16,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,3.75,,,3.00,,,,,,,,,,,,3.25,3.50,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25
Barrel Aged Double Dipped Banana Split Milk Stout,Saugatuck Brewing Co.,Stout,Sweet/Milk Stout,Michigan,1/30/2023,January,2023,Scott T.,115,Cory P.,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,2.75,,,,,,,,,3.25,,,,,,,,,,3.50,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,4.25,,,2.75,,,,,,,,,,,,,,,
$60 Nachos Double India Pale Ale,Hoof Hearted Brewing,IPA,Imperial IPA,Ohio,12/12/2025,December,2026,Scott T.,150,David A.,3.16,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,1.75,,3.00,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,3.25,,,4.25,,,,,,,3.50,,,,,,,,,,,,,,,
Blue Moon Belgian White,Blue Moon Brewing Co.,Wheat,Witbier,Colorado,8/12/2013,August,2013,Scott T.,4,Denis M.,3.15,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.00,,,,,4.50,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,2.50,4.50,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,
In Heat Wheat,Flying Dog Brewery,Wheat,Hefeweizen,Maryland,8/12/2013,August,2013,Scott T.,4,Dave E.,3.15,,4.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,2.50,,,,,3.00,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,2.50,3.00,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Weißbier,Erdinger Weißbräu,Wheat,Hefeweizen,Germany,8/12/2013,August,2013,Scott T.,4,Joe J.,3.15,,3.50,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.00,,,,,4.50,,,,,,,,,,,,,,2.50,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,3.00,4.50,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,
Salted Carm-Ale,Rivertown Brewing Co.,Porter,English Porter,Ohio,1/26/2018,January,2018,Ben W.,57,Matt S. / Colin J.,3.15,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,3.00,,,,3.00,,,,,,,,,,,,,2.50,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,3.50,,2.00,,,,3.25,,,,,,3.25,,,,,,,,,,,,,,,,,,,,
Aged Scotsman,Wooden Cask Brewing Co.,Scotch,,Kentucky,10/11/2019,October,2019,Charlie D.,78,Eric A.,3.15,,,,,,,,,,,,,,,,,,2.50,,,,,3.50,,,3.00,,,,3.00,,,,2.00,,,,,,,,,,,4.25,,2.25,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RadioVision Hazy India Pale Ale,Warped Wing Brewing Co.,IPA,New England/Hazy IPA,Ohio,9/30/2022,September,2022,Charlie D.,111,Jake W.,3.15,,,,,,,,,,,,,,,3.50,,,3.25,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,3.25,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,3.00,,,,,,,,,3.00,,,,,,
Thunder Snow Spiced Scottish Ale,MadTree Brewing Co.,Scottish,,Ohio,12/9/2022,December,2023,Paul W.,114,Matt T.,3.15,,,,,,,,,,,,,,,,,,1.75,,,,,1.25,,,,,,,,,,,3.25,,,,,,,,,2.75,,,,,,,,,,3.25,,,3.00,,,2.50,,,,,3.50,,,,,,,,,,,,,,,,,,,,5.00,,,,,,,,,,3.00,2.75,,,,,,,,,,,,,5.00,,,3.75,,,,3.50,,,,,,,,,,,3.00
The Dan Munich Dunkel,Nocterra Brewing Co.,Dunkel,,Ohio,9/26/2025,September,2025,Charlie D.,147,Renee W.,3.15,,,,,,,,,,,,,,,,,,3.00,,,,,2.75,,,,,,,,,,,3.00,,2.75,,,,,,,,,,,2.00,,,,,,3.25,,,,,,3.25,,,,,2.50,,,,,,,,,,,,3.00,,,,,,,,3.50,,,,,,,,,,3.25,,,,,4.00,,3.75,,,,,,,3.75,,,3.50,,,,,,,,,,,,,,,
Hog Heaven Imperial Red IPA,Avery Brewing Co.,IPA,Red IPA,Colorado,7/3/2017,July,2017,Dave E.,51,Jake W.,3.15,4.00,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,2.50,,,,,,3.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,3.50,,,,,,,,3.00,,4.00,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,3.00,,,
G.I.L. German Style Lager,West Side Brewing Co.,Lager,Helles Lager,Ohio,3/22/2019,March,2019,Jason M.,71,Jason M.,3.15,3.00,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,2.50,,,,,,,,3.25,,,4.00,,,2.75,,,,,,,,,,,,3.00,,,,3.50,,3.00,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.75
Alpha Klaus Christmas Porter,3 Floyds Brewing Co.,Porter,American Porter,Indiana,12/6/2019,December,2020,Paul W.,80,Eric A.,3.14,4.50,,,,,,,,,,,,,,,2.50,,3.00,,,,,2.75,,,2.75,,,,,,,,3.25,,,,,,,,,,,3.75,,3.50,,,,3.50,,3.50,,,3.00,,,3.00,,,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,2.75,3.00,,,,,,,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,2.00,
Helles Lager,Rivertown Brewing Co.,Lager,Helles Lager,Ohio,6/25/2013,June,2013,Colin J.,2,Scott T.,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,3.00,,,,,,,,,,,,,3.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Bay of Bengal Double IPA,Christian Moerlein Brewing Co.,IPA,Double IPA,Ohio,9/26/2015,September,2015,Dave E. and Jake W.,29,Eric H.,3.14,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,1.50,,,,,,,,,,,,,4.00,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,3.50,,,
Belgian White,Shock Top Brewing Co.,Wheat,Witbier,Missouri,9/26/2015,September,2015,Dave E. and Jake W.,29,Bobby T.,3.14,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,3.00,,,
Maximus IPA,Lagunitas Brewing Co.,IPA,Imperial IPA,California,6/6/2016,June,2016,Eric A.,38,Eric H.,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,1.50,,4.00,,,,,,4.50,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,,,,,,,,,,,,,,
Beer For Breakfast Stout,Dogfish Head Craft Brewery,Stout,Coffee Stout,Delaware,11/17/2016,November,2016,Trent D.,43,Scott T.,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,2.50,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,2.50,,,,,,,,,,,,3.50,,,
Double Edge Sword Double IPA,Paladin Brewing,IPA,Double IPA,Ohio,9/26/2017,September,2017,Lee M.,53,Eric H.,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.50,,4.25,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,
Zombie Ice Double Pale Ale,3 Floyds Brewing Co.,IPA,Double IPA,Indiana,3/23/2023,March,2023,Zach M.,117,Jake W.,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,3.00,,,,,,,,,,3.50,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,3.50,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25
Gamma Bomb IPA,Warped Wing Brewing Co.,IPA,American IPA,Ohio,12/7/2018,December,2019,Paul W.,68,Bobby T.,3.14,,,,,,,,,,,,,,,,3.50,,3.00,,,,,3.25,,,,,,,,,,,2.75,,,,,,3.00,,,,,2.00,,4.00,,,,,,3.75,,,4.00,,,3.25,,,,,,,,,,,,,,,,3.50,,2.25,,,,,,,,,,,,,,,,,3.25,2.50,,,,,,,,,,,,,,,,3.50,,,,,,2.75,,,,,,,,,
Double Dramanatrix Russian Imperial Stout,Saugatuck Brewing Co.,Stout,Russian Imperial Stout,Michigan,9/25/2020,September,2020,Paul K. and Chalie D.,88,Paul W.,3.14,,,,,,,,,,,,,,,4.00,3.00,,,,,,,3.50,,,,,,,,,,,3.50,,,,,,,,,,,,,3.00,,,,,,,,,2.00,,,,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazecraft IPA,Great Lakes Brewing Co.,IPA,New England/Hazy IPA,Ohio,9/25/2020,September,2020,Paul K. and Chalie D.,88,Ben S.,3.14,,,,,,,,,,,,,,,3.50,3.00,,,,,,,3.50,,,,,,,,,,,2.00,,,,,,,,,,,,,3.25,,,,,,,,,3.00,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.50,,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calla IPA,Yazoo Brewing Co.,IPA,New England/Hazy IPA,Tennessee,5/26/2022,May,2022,Paul K.,107,Drew B.,3.14,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,3.25,,,,,,,,,,3.50,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,3.00,,,,,,3.25,,,,,,,,,,,,,,,3.75
What's His Nuts Peanut Butter Coffee Stout ,Saucy Brew Works,Stout,Coffee Stout,Ohio,1/31/2025,January,2025,Scott T.,139,Matt T.,3.14,,,,,,,,,,,,,,,,,,4.50,,,,,,,,,,,,,,,,3.00,,0.25,,,,,,,2.75,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,3.50,,,,,,,,,,,,,,,
Blue Moon Agave Nectar Ale,Blue Moon Brewing Co.,Wheat,American Pale Wheat,Colorado,7/23/2013,July,2013,Bobby T.,3,Denis M.,3.14,,3.00,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,4.00,,,,,,,,,4.50,,,,,,,,2.50,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.50,,,3.50,,,,,,,3.50,,,,,
Oktoberfest,Sierra Nevada Brewing Co.,Oktoberfest,Marzen,California,9/28/2018,September,2018,Aaron T. and Jeremy S.,65,Aaron T.,3.14,3.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25,,,,,,,,,,,2.50,,,,,,,,3.25,,3.50,4.00,,,3.50,,,,,,,,,,,,4.50,,,,2.50,,2.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,
Exposure 004 Carbon Neutral India Pale Ale,HighGrain Brewing Co.,IPA,American IPA,Ohio,6/12/2020,June,2020,Charlie D.,84,Paul K.,3.14,3.00,,,,,,,,,,3.25,,,,,3.50,,3.00,,,,,2.50,,,,,,,,,,,2.75,,,,,,,,,,,,,3.75,,,,,,3.00,,,3.50,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revision IPA,Revision Brewing Co.,IPA,American IPA,Nevada,6/12/2020,June,2020,Charlie D.,84,Charlie D.,3.14,3.00,,,,,,,,,,3.00,,,,,4.00,,3.50,,,,,4.00,,,,,,,,,,,2.00,,,,,,,,,,,,,2.50,,,,,,4.00,,,2.50,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
